variant,n,ok,errors,types,instantiations,memoryK,checkMs,totalMs,wallMs
A,10,true,0,9578,26683,32124,7,30,59
A,100,true,0,17986,58184,36804,16,39,70
A,300,true,0,65645,215120,59360,58,81,113
A,600,true,0,212137,675556,119209,164,187,229
A,900,true,0,448645,1406020,214880,371,394,432
B,10,true,0,4991,9902,28795,5,28,54
B,100,true,0,6731,12422,30443,6,28,57
B,300,true,0,10598,18018,34493,18,40,68
B,600,true,0,16398,26418,40367,45,69,98
B,900,true,0,22198,34818,49868,92,114,142
C1,10,true,0,5917,12728,29718,7,31,60
C1,100,true,0,7596,15516,31209,7,30,60
C1,300,true,0,11264,20694,34448,11,35,67
C1,600,true,0,16762,28750,39043,19,42,74
C1,900,true,0,22264,36794,43909,30,55,84
C2,10,true,0,6144,13764,29970,4,27,56
C2,100,true,0,11267,38008,35048,17,40,68
C2,300,true,0,22643,91940,46692,43,66,102
C2,600,true,0,39685,172724,63968,103,125,161
C2,900,true,0,56743,253540,79790,170,193,233
